"Nome Parlamentar","Partido","UF","Titular/Suplente/Efetivado","Endereço","Anexo","Endereço (continuação)","Gabinete","Endereço (complemento)","Telefone","Fax","Mês Aniversário","Dia Aniversário","Correio Eletrônico","Nome sem Acento","Tratamento","Nome Civil"
"FABIO SCHIOCHET","PSL","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",758,"Brasília - DF - CEP 70160-900","3215-5758","3215-2758","05","31","dep.fabioschiochet@camara.leg.br","FABIO SCHIOCHET","Exmo. Senhor Deputado","FÁBIO LUIZ SCHIOCHET FILHO"
"FÁBIO TRAD","PSD","MS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",452,"Brasília - DF - CEP 70160-900","3215-5452","3215-2452","08","18","dep.fabiotrad@camara.leg.br","FABIO TRAD","Exmo. Senhor Deputado","FÁBIO RICARDO TRAD"
"FAUSTO PINATO","PP","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",562,"Brasília - DF - CEP 70160-900","3215-5562","3215-2562","06","01","dep.faustopinato@camara.leg.br","FAUSTO PINATO","Exmo. Senhor Deputado","FAUSTO RUY PINATO"
"FELÍCIO LATERÇA","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",275,"Brasília - DF - CEP 70160-900","3215-5275","3215-2275","05","26","dep.feliciolaterca@camara.leg.br","FELICIO LATERCA","Exmo. Senhor Deputado","FELÍCIO LATERÇA DE ALMEIDA"
"FELIPE CARRERAS","PSB","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",318,"Brasília - DF - CEP 70160-900","3215-5318","3215-2318","04","16","dep.felipecarreras@camara.leg.br","FELIPE CARRERAS","Exmo. Senhor Deputado","FELIPE AUGUSTO LYRA CARRERAS"
"FELIPE FRANCISCHINI","PSL","PR","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",265,"Brasília - DF - CEP 70160-900","3215-5265","3215-2265","10","02","dep.felipefrancischini@camara.leg.br","FELIPE FRANCISCHINI","Exmo. Senhor Deputado","LUIS FELIPE BONATTO FRANCISCHINI"
"FELIPE RIGONI","PSB","ES","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",846,"Brasília - DF - CEP 70160-900","3215-5846","3215-2846","06","13","dep.feliperigoni@camara.leg.br","FELIPE RIGONI","Exmo. Senhor Deputado","FELIPE RIGONI LOPES"
"FÉLIX MENDONÇA JÚNIOR","PDT","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",912,"Brasília - DF - CEP 70160-900","3215-5912","3215-2912","11","29","dep.felixmendoncajunior@camara.leg.br","FELIX MENDONCA JUNIOR","Exmo. Senhor Deputado","FELIX DE ALMEIDA MENDONÇA JÚNIOR"
"FERNANDA MELCHIONNA ","PSOL","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",621,"Brasília - DF - CEP 70160-900","3215-5621","3215-2621","02","02","dep.fernandamelchionna@camara.leg.br","FERNANDA MELCHIONNA ","Exma. Senhora Deputada","FERNANDA MELCHIONNA E SILVA"
"FERNANDO COELHO FILHO","DEM","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",662,"Brasília - DF - CEP 70160-900","3215-5662","3215-2662","02","28","dep.fernandocoelhofilho@camara.leg.br","FERNANDO COELHO FILHO","Exmo. Senhor Deputado","FERNANDO BEZERRA DE SOUZA COELHO FILHO"
"FERNANDO MONTEIRO","PP","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",243,"Brasília - DF - CEP 70160-900","3215-5243","3215-2243","09","17","dep.fernandomonteiro@camara.leg.br","FERNANDO MONTEIRO","Exmo. Senhor Deputado","FERNANDO MONTEIRO DE ALBUQUERQUE"
"FERNANDO RODOLFO","PL","PE","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",481,"Brasília - DF - CEP 70160-900","3215-5481","3215-2481","11","17","dep.fernandorodolfo@camara.leg.br","FERNANDO RODOLFO","Exmo. Senhor Deputado","FERNANDO RODOLFO TENORIO DE VASCONCELOS"
"FILIPE BARROS","PSL","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",745,"Brasília - DF - CEP 70160-900","3215-5745","3215-2745","05","29","dep.filipebarros@camara.leg.br","FILIPE BARROS","Exmo. Senhor Deputado","FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO"
"FLÁVIA ARRUDA","PL","DF","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",646,"Brasília - DF - CEP 70160-900","3215-5646","3215-2646","01","21","dep.flaviaarruda@camara.leg.br","FLAVIA ARRUDA","Exma. Senhora Deputada","FLÁVIA CAROLINA PÉRES"
"FLÁVIA MORAIS","PDT","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",738,"Brasília - DF - CEP 70160-900","3215-5738","3215-2738","04","26","dep.flaviamorais@camara.leg.br","FLAVIA MORAIS","Exma. Senhora Deputada","FLÁVIA CARREIRO ALBUQUERQUE MORAIS"
"FLAVIANO MELO","MDB","AC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",224,"Brasília - DF - CEP 70160-900","3215-5224","3215-2224","11","17","dep.flavianomelo@camara.leg.br","FLAVIANO MELO","Exmo. Senhor Deputado","FLAVIANO FLÁVIO BAPTISTA DE MELO"
"FLÁVIO NOGUEIRA","PDT","PI","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",811,"Brasília - DF - CEP 70160-900","3215-5811","3215-2811","02","27","dep.flavionogueira@camara.leg.br","FLAVIO NOGUEIRA","Exmo. Senhor Deputado","FLÁVIO RODRIGUES NOGUEIRA"
"FLORDELIS","PSD","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",612,"Brasília - DF - CEP 70160-900","3215-5612","3215-2612","02","05","dep.flordelis@camara.leg.br","FLORDELIS","Exma. Senhora Deputada","FLORDELIS DOS SANTOS DE SOUZA"
"FRANCISCO JR.","PSD","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",643,"Brasília - DF - CEP 70160-900","3215-5643","3215-2643","03","15","dep.franciscojr@camara.leg.br","FRANCISCO JR.","Exmo. Senhor Deputado","FRANCISCO RODRIGUES VALE JUNIOR"
"FRANCO CARTAFINA","PP","MG","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",283,"Brasília - DF - CEP 70160-900","3215-5283","3215-2283","11","03","dep.francocartafina@camara.leg.br","FRANCO CARTAFINA","Exmo. Senhor Deputado","FRANCO CARTAFINA GOMES"
"FRED COSTA","PATRIOTA","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",633,"Brasília - DF - CEP 70160-900","3215-5633","3215-2633","07","12","dep.fredcosta@camara.leg.br","FRED COSTA","Exmo. Senhor Deputado","FREDERICO BORGES DA COSTA"
"FREI ANASTACIO RIBEIRO","PT","PB","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",442,"Brasília - DF - CEP 70160-900","3215-5442","3215-2442","03","03","dep.freianastacioribeiro@camara.leg.br","FREI ANASTACIO RIBEIRO","Exmo. Senhor Deputado","ANTONIO RIBEIRO"
"GASTÃO VIEIRA","PROS","MA","S","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",370,"Brasília - DF - CEP 70160-900","3215-5370","3215-2370","06","15","dep.gastaovieira@camara.leg.br","GASTAO VIEIRA","Exmo. Senhor Deputado","GASTÃO DIAS VIEIRA"
"GELSON AZEVEDO","PL","RJ","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",369,"Brasília - DF - CEP 70160-900","3215-5369","3215-2369","01","10","dep.gelsonazevedo@camara.leg.br","GELSON AZEVEDO","Exmo. Senhor Deputado","GELSON DE AZEVEDO ALMEIDA"
"GENECIAS NORONHA","SOLIDARIEDADE","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",244,"Brasília - DF - CEP 70160-900","3215-5244","3215-2244","03","13","dep.geneciasnoronha@camara.leg.br","GENECIAS NORONHA","Exmo. Senhor Deputado","GENECIAS MATEUS NORONHA"
"GENERAL GIRÃO","PSL","RN","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",914,"Brasília - DF - CEP 70160-900","3215-5914","3215-2914","05","08","dep.generalgirao@camara.leg.br","GENERAL GIRAO","Exmo. Senhor Deputado","ELIÉSER GIRÃO MONTEIRO FILHO"
"GENERAL PETERNELLI","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",570,"Brasília - DF - CEP 70160-900","3215-5570","3215-2570","08","06","dep.generalpeternelli@camara.leg.br","GENERAL PETERNELLI","Exmo. Senhor Deputado","ROBERTO SEBASTIÃO PETERNELLI JUNIOR"
"GENINHO ZULIANI","DEM","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",860,"Brasília - DF - CEP 70160-900","3215-5860","3215-2860","01","13","dep.geninhozuliani@camara.leg.br","GENINHO ZULIANI","Exmo. Senhor Deputado","EUGENIO JOSÉ ZULIANI"
"GEOVANIA DE SÁ","PSDB","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",606,"Brasília - DF - CEP 70160-900","3215-5606","3215-2606","03","30","dep.geovaniadesa@camara.leg.br","GEOVANIA DE SA","Exma. Senhora Deputada","Geovânia de Sá"
"GERVÁSIO MAIA","PSB","PB","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",308,"Brasília - DF - CEP 70160-900","3215-5308","3215-2308","04","14","dep.gervasiomaia@camara.leg.br","GERVASIO MAIA","Exmo. Senhor Deputado","GERVÁSIO AGRIPINO MAIA"
"GIACOBO","PL","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",762,"Brasília - DF - CEP 70160-900","3215-5762","3215-2762","12","17","dep.giacobo@camara.leg.br","GIACOBO","Exmo. Senhor Deputado","FERNANDO LÚCIO GIACOBO"
"GIL CUTRIM","PDT","MA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",385,"Brasília - DF - CEP 70160-900","3215-5385","3215-2385","10","26","dep.gilcutrim@camara.leg.br","GIL CUTRIM","Exmo. Senhor Deputado","GILLIANO FRED NASCIMENTO CUTRIM"
"GILBERTO ABRAMO","REPUBLICANOS","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",601,"Brasília - DF - CEP 70160-900","3215-5601","3215-2601","08","06","dep.gilbertoabramo@camara.leg.br","GILBERTO ABRAMO","Exmo. Senhor Deputado","GILBERTO APARECIDO ABRAMO"
"GILBERTO NASCIMENTO","PSC","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",834,"Brasília - DF - CEP 70160-900","3215-5834","3215-2834","07","09","dep.gilbertonascimento@camara.leg.br","GILBERTO NASCIMENTO","Exmo. Senhor Deputado","GILBERTO NASCIMENTO SILVA"
"GILDENEMYR","PL","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",660,"Brasília - DF - CEP 70160-900","3215-5660","3215-2660","11","08","dep.gildenemyr@camara.leg.br","GILDENEMYR","Exmo. Senhor Deputado","GILDENEMIR DE LIMA SOUSA"
"GILSON MARQUES ","NOVO","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",431,"Brasília - DF - CEP 70160-900","3215-5431","3215-2431","04","12","dep.gilsonmarques@camara.leg.br","GILSON MARQUES ","Exmo. Senhor Deputado","GILSON MARQUES VIEIRA"
"GIOVANI CHERINI","PL","RS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",468,"Brasília - DF - CEP 70160-900","3215-5468","3215-2468","06","23","dep.giovanicherini@camara.leg.br","GIOVANI CHERINI","Exmo. Senhor Deputado","GIOVANI CHERINI"
"GIOVANI FELTES","MDB","RS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",376,"Brasília - DF - CEP 70160-900","3215-5376","3215-2376","04","10","dep.giovanifeltes@camara.leg.br","GIOVANI FELTES","Exmo. Senhor Deputado","GIOVANI BATISTA FELTES"
"GLAUBER BRAGA","PSOL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",362,"Brasília - DF - CEP 70160-900","3215-5362","3215-2362","06","26","dep.glauberbraga@camara.leg.br","GLAUBER BRAGA","Exmo. Senhor Deputado","GLAUBER DE MEDEIROS BRAGA"
"GLAUSTIN FOKUS","PSC","GO","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",473,"Brasília - DF - CEP 70160-900","3215-5473","3215-2473","12","22","dep.glaustinfokus@camara.leg.br","GLAUSTIN FOKUS","Exmo. Senhor Deputado","GLAUSKSTON BATISTA RIOS"
"GLEISI HOFFMANN","PT","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",232,"Brasília - DF - CEP 70160-900","3215-5232","3215-2232","09","06","dep.gleisihoffmann@camara.leg.br","GLEISI HOFFMANN","Exma. Senhora Deputada","GLEISI HELENA HOFFMANN"
"GONZAGA PATRIOTA","PSB","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",430,"Brasília - DF - CEP 70160-900","3215-5430","3215-2430","04","26","dep.gonzagapatriota@camara.leg.br","GONZAGA PATRIOTA","Exmo. Senhor Deputado","LUIZ GONZAGA PATRIOTA"
"GREYCE ELIAS","AVANTE","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",340,"Brasília - DF - CEP 70160-900","3215-5340","3215-2340","12","15","dep.greyceelias@camara.leg.br","GREYCE ELIAS","Exma. Senhora Deputada","GREYCE DE QUEIROZ ELIAS"
"GUIGA PEIXOTO","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",333,"Brasília - DF - CEP 70160-900","3215-5333","3215-2333","11","13","dep.guigapeixoto@camara.leg.br","GUIGA PEIXOTO","Exmo. Senhor Deputado","JOSÉ GUILHERME NEGRÃO PEIXOTO"
"GUILHERME DERRITE","PP","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",639,"Brasília - DF - CEP 70160-900","3215-5639","3215-2639","10","10","dep.guilhermederrite@camara.leg.br","GUILHERME DERRITE","Exmo. Senhor Deputado","GUILHERME MURARO DERRITE"
"GURGEL","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",937,"Brasília - DF - CEP 70160-900","3215-5937","3215-2937","12","02","dep.gurgel@camara.leg.br","GURGEL","Exmo. Senhor Deputado","JOÃO CARLOS SOARES GURGEL"
"GUSTAVO FRUET","PDT","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",827,"Brasília - DF - CEP 70160-900","3215-5827","3215-2827","04","18","dep.gustavofruet@camara.leg.br","GUSTAVO FRUET","Exmo. Senhor Deputado","GUSTAVO BONATO FRUET"
"GUSTINHO RIBEIRO","SOLIDARIEDADE","SE","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",379,"Brasília - DF - CEP 70160-900","3215-5379","3215-2379","02","16","dep.gustinhoribeiro@camara.leg.br","GUSTINHO RIBEIRO","Exmo. Senhor Deputado","LUIZ AUGUSTO CARVALHO RIBEIRO FILHO"
"GUTEMBERG REIS","MDB","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",856,"Brasília - DF - CEP 70160-900","3215-5856","3215-2856","09","09","dep.gutembergreis@camara.leg.br","GUTEMBERG REIS","Exmo. Senhor Deputado","GUTEMBERG REIS DE OLIVEIRA"
"HAROLDO CATHEDRAL","PSD","RR","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",280,"Brasília - DF - CEP 70160-900","3215-5280","3215-2280","05","11","dep.haroldocathedral@camara.leg.br","HAROLDO CATHEDRAL","Exmo. Senhor Deputado","HAROLDO ALVES CAMPOS"
"HEITOR FREIRE","PSL","CE","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",367,"Brasília - DF - CEP 70160-900","3215-5367","3215-2367","10","08","dep.heitorfreire@camara.leg.br","HEITOR FREIRE","Exmo. Senhor Deputado","HEITOR RODRIGO PEREIRA FREIRE"
"HEITOR SCHUCH","PSB","RS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",277,"Brasília - DF - CEP 70160-900","3215-5277","3215-2277","03","25","dep.heitorschuch@camara.leg.br","HEITOR SCHUCH","Exmo. Senhor Deputado","HEITOR JOSE SCHUCH"
"HELDER SALOMÃO","PT","ES","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",573,"Brasília - DF - CEP 70160-900","3215-5573","3215-2573","03","08","dep.heldersalomao@camara.leg.br","HELDER SALOMAO","Exmo. Senhor Deputado","HELDER IGNACIO SALOMAO"
"HÉLIO COSTA","REPUBLICANOS","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",609,"Brasília - DF - CEP 70160-900","3215-5609","3215-2609","03","03","dep.heliocosta@camara.leg.br","HELIO COSTA","Exmo. Senhor Deputado","HÉLIO FRANCISCO DA COSTA"
"HÉLIO LEITE","DEM","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",930,"Brasília - DF - CEP 70160-900","3215-5930","3215-2930","12","09","dep.helioleite@camara.leg.br","HELIO LEITE","Exmo. Senhor Deputado","HELIO LEITE DA SILVA"
"HELIO LOPES","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",405,"Brasília - DF - CEP 70160-900","3215-5405","3215-2405","03","28","dep.heliolopes@camara.leg.br","HELIO LOPES","Exmo. Senhor Deputado","HELIO FERNANDO BARBOSA LOPES"
"HENRIQUE FONTANA","PT","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",256,"Brasília - DF - CEP 70160-900","3215-5256","3215-2256","01","18","dep.henriquefontana@camara.leg.br","HENRIQUE FONTANA","Exmo. Senhor Deputado","HENRIQUE FONTANA JÚNIOR"
"HERCÍLIO COELHO DINIZ","MDB","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",510,"Brasília - DF - CEP 70160-900","3215-5510","3215-2510","09","14","dep.herciliocoelhodiniz@camara.leg.br","HERCILIO COELHO DINIZ","Exmo. Senhor Deputado","HERCÍLIO ARAÚJO DINIZ FILHO"
"HERCULANO PASSOS","MDB","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",926,"Brasília - DF - CEP 70160-900","3215-5926","3215-2926","08","04","dep.herculanopassos@camara.leg.br","HERCULANO PASSOS","Exmo. Senhor Deputado","HERCULANO CASTILHO PASSOS JUNIOR"
"HERMES PARCIANELLO","MDB","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",234,"Brasília - DF - CEP 70160-900","3215-5234","3215-2234","04","25","dep.hermesparcianello@camara.leg.br","HERMES PARCIANELLO","Exmo. Senhor Deputado","HERMES PARCIANELLO"
"HILDO ROCHA","MDB","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",734,"Brasília - DF - CEP 70160-900","3215-5734","3215-2734","04","22","dep.hildorocha@camara.leg.br","HILDO ROCHA","Exmo. Senhor Deputado","HILDO AUGUSTO DA ROCHA NETO"
"HIRAN GONÇALVES","PP","RR","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",478,"Brasília - DF - CEP 70160-900","3215-5478","3215-2478","06","19","dep.hirangoncalves@camara.leg.br","HIRAN GONCALVES","Exmo. Senhor Deputado","HIRAN MANUEL GONCALVES DA SILVA"
"HUGO LEAL","PSD","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",631,"Brasília - DF - CEP 70160-900","3215-5631","3215-2631","08","06","dep.hugoleal@camara.leg.br","HUGO LEAL","Exmo. Senhor Deputado","HUGO LEAL MELO DA SILVA"
"HUGO MOTTA","REPUBLICANOS","PB","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",237,"Brasília - DF - CEP 70160-900","3215-5237","3215-2237","09","11","dep.hugomotta@camara.leg.br","HUGO MOTTA","Exmo. Senhor Deputado","HUGO MOTTA WANDERLEY DA NÓBREGA"
"IDILVAN ALENCAR","PDT","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",737,"Brasília - DF - CEP 70160-900","3215-5737","3215-2737","09","23","dep.idilvanalencar@camara.leg.br","IDILVAN ALENCAR","Exmo. Senhor Deputado","ANTONIO IDILVAN DE LIMA ALENCAR"
"IGOR KANNÁRIO","DEM","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",337,"Brasília - DF - CEP 70160-900","3215-5337","3215-2337","11","29","dep.igorkannario@camara.leg.br","IGOR KANNARIO","Exmo. Senhor Deputado","ANDERSON MACHADO DE JESUS"
"IGOR TIMO","PODE","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",726,"Brasília - DF - CEP 70160-900","3215-5726","3215-2726","04","10","dep.igortimo@camara.leg.br","IGOR TIMO","Exmo. Senhor Deputado","IGOR TARCIANO TIMO"
"IRACEMA PORTELLA","PP","PI","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",924,"Brasília - DF - CEP 70160-900","3215-5924","3215-2924","04","23","dep.iracemaportella@camara.leg.br","IRACEMA PORTELLA","Exma. Senhora Deputada","IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA"
"ISNALDO BULHÕES JR.","MDB","AL","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",460,"Brasília - DF - CEP 70160-900","3215-5460","3215-2460","10","30","dep.isnaldobulhoesjr@camara.leg.br","ISNALDO BULHOES JR.","Exmo. Senhor Deputado","ISNALDO BULHOES BARROS JUNIOR"
"IVAN VALENTE","PSOL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",716,"Brasília - DF - CEP 70160-900","3215-5716","3215-2716","07","05","dep.ivanvalente@camara.leg.br","IVAN VALENTE","Exmo. Senhor Deputado","IVAN VALENTE"
"JANDIRA FEGHALI","PCdoB","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",622,"Brasília - DF - CEP 70160-900","3215-5622","3215-2622","05","17","dep.jandirafeghali@camara.leg.br","JANDIRA FEGHALI","Exma. Senhora Deputada","JANDIRA FEGHALI"
"JAQUELINE CASSOL","PP","RO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",242,"Brasília - DF - CEP 70160-900","3215-5242","3215-2242","12","03","dep.jaquelinecassol@camara.leg.br","JAQUELINE CASSOL","Exma. Senhora Deputada","DIRLAINE JAQUELINE CASSOL"
"JEFFERSON CAMPOS","PSB","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",346,"Brasília - DF - CEP 70160-900","3215-5346","3215-2346","10","26","dep.jeffersoncampos@camara.leg.br","JEFFERSON CAMPOS","Exmo. Senhor Deputado","JEFFERSON ALVES DE CAMPOS"
"JERÔNIMO GOERGEN","PP","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",316,"Brasília - DF - CEP 70160-900","3215-5316","3215-2316","01","20","dep.jeronimogoergen@camara.leg.br","JERONIMO GOERGEN","Exmo. Senhor Deputado","JERÔNIMO PIZZOLOTTO GOERGEN"
"JÉSSICA SALES","MDB","AC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",952,"Brasília - DF - CEP 70160-900","3215-5952","3215-2952","11","28","dep.jessicasales@camara.leg.br","JESSICA SALES","Exma. Senhora Deputada","JESSICA ROJAS SALES"
"JESUS SÉRGIO","PDT","AC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",941,"Brasília - DF - CEP 70160-900","3215-5941","3215-2941","06","10","dep.jesussergio@camara.leg.br","JESUS SERGIO","Exmo. Senhor Deputado","JESUS SERGIO DE MENEZES"
"JHC","PSB","AL","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",958,"Brasília - DF - CEP 70160-900","3215-5958","3215-2958","07","22","dep.jhc@camara.leg.br","JHC","Exmo. Senhor Deputado","JOAO HENRIQUE HOLANDA  CALDAS"
"JHONATAN DE JESUS","REPUBLICANOS","RR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",535,"Brasília - DF - CEP 70160-900","3215-5535","3215-2535","09","03","dep.jhonatandejesus@camara.leg.br","JHONATAN DE JESUS","Exmo. Senhor Deputado","JOHNATHAN PEREIRA DE JESUS"
"JOÃO CAMPOS","REPUBLICANOS","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",315,"Brasília - DF - CEP 70160-900","3215-5315","3215-2315","12","28","dep.joaocampos@camara.leg.br","JOAO CAMPOS","Exmo. Senhor Deputado","JOÃO CAMPOS DE ARAÚJO"
"JOÃO CARLOS BACELAR","PL","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",928,"Brasília - DF - CEP 70160-900","3215-5928","3215-2928","10","08","dep.joaocarlosbacelar@camara.leg.br","JOAO CARLOS BACELAR","Exmo. Senhor Deputado","JOÃO CARLOS PAOLILO BACELAR FILHO"
"JOÃO DANIEL","PT","SE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",605,"Brasília - DF - CEP 70160-900","3215-5605","3215-2605","08","22","dep.joaodaniel@camara.leg.br","JOAO DANIEL","Exmo. Senhor Deputado","JOAO SOMARIVA DANIEL"
"JOÃO H. CAMPOS","PSB","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",409,"Brasília - DF - CEP 70160-900","3215-5409","3215-2409","11","26","dep.joaohcampos@camara.leg.br","JOAO H. CAMPOS","Exmo. Senhor Deputado","JOÃO HENRIQUE DE ANDRADE LIMA CAMPOS"
"JOÃO MAIA","PL","RN","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",439,"Brasília - DF - CEP 70160-900","3215-5439","3215-2439","09","20","dep.joaomaia@camara.leg.br","JOAO MAIA","Exmo. Senhor Deputado","JOÃO DA SILVA MAIA"
"JOÃO MARCELO SOUZA","MDB","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",506,"Brasília - DF - CEP 70160-900","3215-5506","3215-2506","11","11","dep.joaomarcelosouza@camara.leg.br","JOAO MARCELO SOUZA","Exmo. Senhor Deputado","JOÃO MARCELO SANTOS SOUZA"
"JOÃO ROMA","REPUBLICANOS","BA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",276,"Brasília - DF - CEP 70160-900","3215-5276","3215-2276","11","17","dep.joaoroma@camara.leg.br","JOAO ROMA","Exmo. Senhor Deputado","JOÃO INÁCIO RIBEIRO ROMA NETO"
"JOAQUIM PASSARINHO","PSD","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",334,"Brasília - DF - CEP 70160-900","3215-5334","3215-2334","12","02","dep.joaquimpassarinho@camara.leg.br","JOAQUIM PASSARINHO","Exmo. Senhor Deputado","JOAQUIM PASSARINHO PINTO DE SOUZA PORTO"
"JOENIA WAPICHANA","REDE","RR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",231,"Brasília - DF - CEP 70160-900","3215-5231","3215-2231","04","20","dep.joeniawapichana@camara.leg.br","JOENIA WAPICHANA","Exma. Senhora Deputada","JOENIA BATISTA DE CARVALHO"
"JOICE HASSELMANN","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",825,"Brasília - DF - CEP 70160-900","3215-5825","3215-2825","01","29","dep.joicehasselmann@camara.leg.br","JOICE HASSELMANN","Exma. Senhora Deputada","JOICE CRISTINA HASSELMANN"
"JORGE BRAZ","REPUBLICANOS","RJ","E","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",213,"Brasília - DF - CEP 70160-900","3215-5213","3215-2213","07","13","dep.jorgebraz@camara.leg.br","JORGE BRAZ","Exmo. Senhor Deputado","JORGE BRAZ DE OLIVEIRA "
